stock_number,vin,stock_type,title,year,make,model,trim,price,body_style,engine,transmission,exterior_color,interior_color,kilometres,all_images,url,certified,deleted
2719261203,,new,2016 Buick Encore,2016,Buick,Encore,Premium,"$33,439",,1.4L 4 cyl,,Carbon Black Metallic,Ebony,,http://inventory-dmg.assets-cdk.com/8/1/2/14435665218.jpg|http://inventory-dmg.assets-cdk.com/3/4/2/14435665243.jpg|http://inventory-dmg.assets-cdk.com/2/7/2/14435665272.jpg|http://inventory-dmg.assets-cdk.com/1/9/2/14435665291.jpg|http://inventory-dmg.assets-cdk.com/3/2/3/14435665323.jpg|http://inventory-dmg.assets-cdk.com/5/4/3/14435665345.jpg|http://inventory-dmg.assets-cdk.com/2/7/3/14435665372.jpg|http://inventory-dmg.assets-cdk.com/3/9/3/14435665393.jpg|http://inventory-dmg.assets-cdk.com/7/1/4/14435665417.jpg|http://inventory-dmg.assets-cdk.com/3/4/4/14435665443.jpg|http://inventory-dmg.assets-cdk.com/9/6/4/14435665469.jpg|http://inventory-dmg.assets-cdk.com/3/9/4/14435665493.jpg|http://inventory-dmg.assets-cdk.com/4/1/5/14435665514.jpg|http://inventory-dmg.assets-cdk.com/9/3/5/14435665539.jpg|http://inventory-dmg.assets-cdk.com/9/6/5/14435665569.jpg|http://inventory-dmg.assets-cdk.com/0/9/5/14435665590.jpg|http://inventory-dmg.assets-cdk.com/5/1/6/14435665615.jpg|http://inventory-dmg.assets-cdk.com/9/3/6/14435665639.jpg|http://inventory-dmg.assets-cdk.com/RTT/Buick/2016/2917933/default/ext_GAR_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Buick/2016/2917933/default/ext_GAR_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Buick/2016/2917933/default/ext_GAR_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Buick/2016/2917933/default/ext_GAR_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Buick/2016/2917933/default/ext_GAR_deg05.jpg|http://inventory-dmg.assets-cdk.com/RTT/Buick/2016/2917933/default/int_AAY_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Buick/2016/2917933/default/int_AAY_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Buick/2016/2917933/default/int_AAY_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Buick/2016/2917933/default/int_AAY_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Buick/2016/2917933/default/int_AAY_deg05.jpg|http://inventory-dmg.assets-cdk.com/chrome/379368/cc_2016BUS040002_01_640_GAR.png,http://www.royfosswoodbridge.com/VehicleDetails/new-2016-Buick-Encore-Premium-Woodbridge-ON/2719261203,0,1
2719262463,,new,2016 Chevrolet Equinox,2016,Chevrolet,Equinox,LT,Contact Us,,"2.4L DOHC DI I4, VVT",,Summit White,Jet Black,,http://inventory-dmg.assets-cdk.com/1/4/8/14435645841.jpg|http://inventory-dmg.assets-cdk.com/2/6/8/14435645862.jpg|http://inventory-dmg.assets-cdk.com/1/8/8/14435645881.jpg|http://inventory-dmg.assets-cdk.com/5/0/9/14435645905.jpg|http://inventory-dmg.assets-cdk.com/7/2/9/14435645927.jpg|http://inventory-dmg.assets-cdk.com/9/4/9/14435645949.jpg|http://inventory-dmg.assets-cdk.com/2/7/9/14435645972.jpg|http://inventory-dmg.assets-cdk.com/4/9/9/14435645994.jpg|http://inventory-dmg.assets-cdk.com/1/2/0/14435646021.jpg|http://inventory-dmg.assets-cdk.com/4/4/0/14435646044.jpg|http://inventory-dmg.assets-cdk.com/4/6/0/14435646064.jpg|http://inventory-dmg.assets-cdk.com/4/9/0/14435646094.jpg|http://inventory-dmg.assets-cdk.com/2/2/1/14435646122.jpg|http://inventory-dmg.assets-cdk.com/4/4/1/14435646144.jpg|http://inventory-dmg.assets-cdk.com/8/6/1/14435646168.jpg|http://inventory-dmg.assets-cdk.com/8/8/1/14435646188.jpg|http://inventory-dmg.assets-cdk.com/3/1/2/14435646213.jpg|http://inventory-dmg.assets-cdk.com/6/3/2/14435646236.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2907723/default/ext_GAZ_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2907723/default/ext_GAZ_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2907723/default/ext_GAZ_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2907723/default/ext_GAZ_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2907723/default/int_AFJ_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2907723/default/int_AFJ_deg02.jpg|http://inventory-dmg.assets-cdk.com/chrome/377309/cc_2016CHS150010_01_640_GAZ.png,http://www.royfosswoodbridge.com/VehicleDetails/new-2016-Chevrolet-Equinox-LT-Woodbridge-ON/2719262463,0,1
2724452773,,new,2016 Chevrolet Equinox,2016,Chevrolet,Equinox,LT,Contact Us,,"2.4L DOHC DI I4, VVT",,Iridescent Pearl Tricoat,Jet Black,,http://inventory-dmg.assets-cdk.com/7/9/2/14435641297.jpg|http://inventory-dmg.assets-cdk.com/6/1/3/14435641316.jpg|http://inventory-dmg.assets-cdk.com/2/4/3/14435641342.jpg|http://inventory-dmg.assets-cdk.com/2/1/4/14435641412.jpg|http://inventory-dmg.assets-cdk.com/7/3/4/14435641437.jpg|http://inventory-dmg.assets-cdk.com/6/8/4/14435641486.jpg|http://inventory-dmg.assets-cdk.com/8/0/5/14435641508.jpg|http://inventory-dmg.assets-cdk.com/2/3/5/14435641532.jpg|http://inventory-dmg.assets-cdk.com/3/5/5/14435641553.jpg|http://inventory-dmg.assets-cdk.com/0/8/5/14435641580.jpg|http://inventory-dmg.assets-cdk.com/7/9/5/14435641597.jpg|http://inventory-dmg.assets-cdk.com/4/2/6/14435641624.jpg|http://inventory-dmg.assets-cdk.com/4/5/6/14435641654.jpg|http://inventory-dmg.assets-cdk.com/8/7/6/14435641678.jpg|http://inventory-dmg.assets-cdk.com/8/9/6/14435641698.jpg|http://inventory-dmg.assets-cdk.com/1/2/7/14435641721.jpg|http://inventory-dmg.assets-cdk.com/5/5/7/14435641755.jpg|http://inventory-dmg.assets-cdk.com/5/7/7/14435641775.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2907933/default/ext_G1W_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2907933/default/ext_G1W_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2907933/default/ext_G1W_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2907933/default/ext_G1W_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2907933/default/int_AFJ_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2907933/default/int_AFJ_deg02.jpg|http://inventory-dmg.assets-cdk.com/chrome/377308/cc_2016CHS150010_01_640_G1W.png,http://www.royfosswoodbridge.com/VehicleDetails/new-2016-Chevrolet-Equinox-LT-Woodbridge-ON/2724452773,0,1
2733026273,,new,2016 GMC Terrain,2016,GMC,Terrain,SLE,"$26,988",,I-4 cyl,,Ebony Twilight Metallic,Jet Black,,http://inventory-dmg.assets-cdk.com/RTT/GMC/2016/2898503/default/ext_GB8_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2016/2898503/default/ext_GB8_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2016/2898503/default/ext_GB8_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2016/2898503/default/ext_GB8_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2016/2898503/default/int_AFC_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2016/2898503/default/int_AFC_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2016/2898503/default/int_AFC_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/GMC/2016/2898503/default/int_AFC_deg04.jpg|http://inventory-dmg.assets-cdk.com/chrome/378139/cc_2016GMS280004_01_640_GB8.png,http://www.royfosswoodbridge.com/VehicleDetails/new-2016-GMC-Terrain-SLE-Woodbridge-ON/2733026273,0,1
2734385823,,used,2015 Cadillac Escalade,2015,Cadillac,Escalade,Premium 4dr SUV (6.2L 8cyl 6A),"$74,995",,V-8 cyl,Automatic,Black,Black,"42,000",http://inventory-dmg.assets-cdk.com/4/9/6/14257184694.jpg|http://inventory-dmg.assets-cdk.com/1/0/7/14257184701.jpg|http://inventory-dmg.assets-cdk.com/8/0/7/14257184708.jpg|http://inventory-dmg.assets-cdk.com/7/1/7/14257184717.jpg|http://inventory-dmg.assets-cdk.com/4/3/7/14257184734.jpg|http://inventory-dmg.assets-cdk.com/0/4/7/14257184740.jpg|http://inventory-dmg.assets-cdk.com/3/5/7/14257184753.jpg|http://inventory-dmg.assets-cdk.com/1/9/7/14257184791.jpg|http://inventory-dmg.assets-cdk.com/7/9/7/14257184797.jpg|http://inventory-dmg.assets-cdk.com/7/2/8/14257184827.jpg|http://inventory-dmg.assets-cdk.com/6/3/8/14257184836.jpg|http://inventory-dmg.assets-cdk.com/4/4/8/14257184844.jpg|http://inventory-dmg.assets-cdk.com/9/4/8/14257184849.jpg|http://inventory-dmg.assets-cdk.com/4/6/8/14257184864.jpg|http://inventory-dmg.assets-cdk.com/0/7/8/14257184870.jpg|http://inventory-dmg.assets-cdk.com/1/8/8/14257184881.jpg|http://inventory-dmg.assets-cdk.com/8/8/8/14257184888.jpg|http://inventory-dmg.assets-cdk.com/2/0/9/14257184902.jpg|http://inventory-dmg.assets-cdk.com/5/1/9/14257184915.jpg|http://inventory-dmg.assets-cdk.com/7/4/9/14257184947.jpg|http://inventory-dmg.assets-cdk.com/0/6/9/14257184960.jpg|http://inventory-dmg.assets-cdk.com/3/7/9/14257184973.jpg|http://inventory-dmg.assets-cdk.com/4/8/9/14257184984.jpg|http://inventory-dmg.assets-cdk.com/7/0/0/14257185007.jpg,http://www.royfosswoodbridge.com/VehicleDetails/certified-2015-Cadillac-Escalade-Premium-Woodbridge-ON/2734385823,0,1
2742559473,,used,2014 GMC Savana,2014,GMC,Savana,VAN,"$26,821",,V-8 cyl,Automatic,White,Charcoal,"36,000",http://inventory-dmg.assets-cdk.com/7/4/8/14463031847.jpg|http://inventory-dmg.assets-cdk.com/7/7/8/14463031877.jpg|http://inventory-dmg.assets-cdk.com/9/0/9/14463031909.jpg|http://inventory-dmg.assets-cdk.com/3/6/9/14463031963.jpg|http://inventory-dmg.assets-cdk.com/7/1/0/14463032017.jpg|http://inventory-dmg.assets-cdk.com/9/5/0/14463032059.jpg|http://inventory-dmg.assets-cdk.com/1/8/0/14463032081.jpg|http://inventory-dmg.assets-cdk.com/1/3/1/14463032131.jpg|http://inventory-dmg.assets-cdk.com/9/5/1/14463032159.jpg,http://www.royfosswoodbridge.com/VehicleDetails/certified-2014-GMC-Savana-VAN-Woodbridge-ON/2742559473,0,1
2748999683,,used,2015 Cadillac SRX,2015,Cadillac,SRX,Luxury 4dr SUV AWD (3.6L 6cyl 6A),"$33,995",,V-6 cyl,Automatic,Black,Black,,http://inventory-cf.assets-cdk.com/8/4/6/14735098648.jpg|http://inventory-cf.assets-cdk.com/4/4/7/14735098744.jpg|http://inventory-cf.assets-cdk.com/7/1/8/14735098817.jpg|http://inventory-cf.assets-cdk.com/3/8/8/14735098883.jpg|http://inventory-cf.assets-cdk.com/3/1/9/14735098913.jpg|http://inventory-cf.assets-cdk.com/0/9/9/14735098990.jpg|http://inventory-cf.assets-cdk.com/0/6/0/14735099060.jpg|http://inventory-cf.assets-cdk.com/2/1/1/14735099112.jpg|http://inventory-cf.assets-cdk.com/5/8/1/14735099185.jpg|http://inventory-cf.assets-cdk.com/3/1/2/14735099213.jpg|http://inventory-cf.assets-cdk.com/9/9/2/14735099299.jpg|http://inventory-cf.assets-cdk.com/4/5/3/14735099354.jpg|http://inventory-cf.assets-cdk.com/4/2/4/14735099424.jpg|http://inventory-cf.assets-cdk.com/7/6/4/14735099467.jpg|http://inventory-cf.assets-cdk.com/6/2/5/14735099526.jpg|http://inventory-cf.assets-cdk.com/9/8/5/14735099589.jpg|http://inventory-cf.assets-cdk.com/6/3/6/14735099636.jpg|http://inventory-cf.assets-cdk.com/9/7/6/14735099679.jpg|http://inventory-cf.assets-cdk.com/2/3/7/14735099732.jpg,http://www.royfosswoodbridge.com/VehicleDetails/certified-2015-Cadillac-SRX-Luxury-Woodbridge-ON/2748999683,0,0
2756019903,,new,2016 GMC Terrain,2016,GMC,Terrain,SLE,"$28,323",,2.4L 4 cyl,,White Frost Tri,Jet Black,,http://inventory-cf.assets-cdk.com/RTT/GMC/2016/2898503/default/ext_G1W_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/GMC/2016/2898503/default/ext_G1W_deg02.jpg|http://inventory-cf.assets-cdk.com/RTT/GMC/2016/2898503/default/ext_G1W_deg03.jpg|http://inventory-cf.assets-cdk.com/RTT/GMC/2016/2898503/default/ext_G1W_deg04.jpg|http://inventory-cf.assets-cdk.com/RTT/GMC/2016/2898503/default/int_AFC_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/GMC/2016/2898503/default/int_AFC_deg02.jpg|http://inventory-cf.assets-cdk.com/RTT/GMC/2016/2898503/default/int_AFC_deg03.jpg|http://inventory-cf.assets-cdk.com/RTT/GMC/2016/2898503/default/int_AFC_deg04.jpg|http://inventory-cf.assets-cdk.com/chrome/378139/cc_2016GMS280004_01_640_G1W.png,http://www.royfosswoodbridge.com/VehicleDetails/new-2016-GMC-Terrain-SLE-Woodbridge-ON/2756019903,0,0
2760355503,,new,2017 Cadillac XT5,2017,Cadillac,XT5,Premium Luxury AWD,"$65,140",,3.6L 6 cyl,,Crystal White Tricoat,Jet Black,,http://inventory-cf.assets-cdk.com/4/9/8/14435625894.jpg|http://inventory-cf.assets-cdk.com/4/3/9/14435625934.jpg|http://inventory-cf.assets-cdk.com/0/8/9/14435625980.jpg|http://inventory-cf.assets-cdk.com/3/1/0/14435626013.jpg|http://inventory-cf.assets-cdk.com/0/5/0/14435626050.jpg|http://inventory-cf.assets-cdk.com/9/8/0/14435626089.jpg|http://inventory-cf.assets-cdk.com/6/1/1/14435626116.jpg|http://inventory-cf.assets-cdk.com/7/4/1/14435626147.jpg|http://inventory-cf.assets-cdk.com/7/7/1/14435626177.jpg|http://inventory-cf.assets-cdk.com/7/1/2/14435626217.jpg|http://inventory-cf.assets-cdk.com/8/4/2/14435626248.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3079943/default/ext_G1W_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3079943/default/ext_G1W_deg02.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3079943/default/ext_G1W_deg03.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3079943/default/ext_G1W_deg04.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3079943/default/ext_G1W_deg05.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3079943/default/ext_G1W_deg06.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3079943/default/int_H2X_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3079943/default/int_H2X_deg02.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3079943/default/int_H2X_deg03.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3079943/default/int_H2X_deg04.jpg|http://inventory-cf.assets-cdk.com/RTT/Cadillac/2017/3079943/default/int_H2X_deg05.jpg|http://inventory-cf.assets-cdk.com/chrome_jpgs/2017/23644.jpg,http://www.royfosswoodbridge.com/VehicleDetails/new-2017-Cadillac-XT5-Premium_Luxury_AWD-Woodbridge-ON/2760355503,0,0
2769709353,,new,2016 GMC Sierra 2500HD,2016,GMC,Sierra 2500HD,-,Contact Us,,V-8 cyl,,Red,N/A,,http://inventory-dmg.assets-cdk.com/chrome_jpgs/2016/18221.jpg,http://www.royfosswoodbridge.com/VehicleDetails/new-2016-GMC-Sierra_2500HD-_-Woodbridge-ON/2769709353,0,1
2771679783,,new,2016 Chevrolet Cruze,2016,Chevrolet,Cruze,LS 4dr Sedan (1.5L 4cyl 6A),"$22,358",,1.4L 4 cyl,,Kinetic Blue Metallic,Jet Black,,http://inventory-cf.assets-cdk.com/3/0/5/14435650503.jpg|http://inventory-cf.assets-cdk.com/2/2/5/14435650522.jpg|http://inventory-cf.assets-cdk.com/8/3/5/14435650538.jpg|http://inventory-cf.assets-cdk.com/4/6/5/14435650564.jpg|http://inventory-cf.assets-cdk.com/8/0/6/14435650608.jpg|http://inventory-cf.assets-cdk.com/0/3/6/14435650630.jpg|http://inventory-cf.assets-cdk.com/1/5/6/14435650651.jpg|http://inventory-cf.assets-cdk.com/0/7/6/14435650670.jpg|http://inventory-cf.assets-cdk.com/1/9/6/14435650691.jpg|http://inventory-cf.assets-cdk.com/0/1/7/14435650710.jpg|http://inventory-cf.assets-cdk.com/9/2/7/14435650729.jpg|http://inventory-cf.assets-cdk.com/5/5/7/14435650755.jpg|http://inventory-cf.assets-cdk.com/5/7/7/14435650775.jpg|http://inventory-cf.assets-cdk.com/5/9/7/14435650795.jpg|http://inventory-cf.assets-cdk.com/8/1/8/14435650818.jpg|http://inventory-cf.assets-cdk.com/0/4/8/14435650840.jpg|http://inventory-cf.assets-cdk.com/7/4/9/14435650947.jpg|http://inventory-cf.assets-cdk.com/2/8/9/14435650982.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2016/3077823/default/ext_GD1_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2016/3077823/default/ext_GD1_deg02.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2016/3077823/default/ext_GD1_deg03.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2016/3077823/default/ext_GD1_deg04.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2016/3077823/default/int_H0U_deg01.jpg|http://inventory-cf.assets-cdk.com/RTT/Chevrolet/2016/3077823/default/int_H0U_deg02.jpg|http://inventory-cf.assets-cdk.com/chrome/381791/cc_2016CHC300002_01_640_GD1.png,http://www.royfosswoodbridge.com/VehicleDetails/new-2016-Chevrolet-Cruze-LT-Woodbridge-ON/2771679783,0,0
2771679813,,new,2016 Chevrolet Cruze,2016,Chevrolet,Cruze,LS 4dr Sedan (1.5L 4cyl 6A),"$21,988",,1.4L 4 cyl,,Summit White,Jet Black,,http://inventory-dmg.assets-cdk.com/9/6/5/14435648569.jpg|http://inventory-dmg.assets-cdk.com/2/8/5/14435648582.jpg|http://inventory-dmg.assets-cdk.com/4/0/6/14435648604.jpg|http://inventory-dmg.assets-cdk.com/4/4/6/14435648644.jpg|http://inventory-dmg.assets-cdk.com/9/6/6/14435648669.jpg|http://inventory-dmg.assets-cdk.com/7/8/6/14435648687.jpg|http://inventory-dmg.assets-cdk.com/7/9/6/14435648697.jpg|http://inventory-dmg.assets-cdk.com/9/1/7/14435648719.jpg|http://inventory-dmg.assets-cdk.com/3/3/7/14435648733.jpg|http://inventory-dmg.assets-cdk.com/1/5/7/14435648751.jpg|http://inventory-dmg.assets-cdk.com/0/7/7/14435648770.jpg|http://inventory-dmg.assets-cdk.com/3/9/7/14435648793.jpg|http://inventory-dmg.assets-cdk.com/6/0/8/14435648806.jpg|http://inventory-dmg.assets-cdk.com/2/5/8/14435648852.jpg|http://inventory-dmg.assets-cdk.com/2/7/8/14435648872.jpg|http://inventory-dmg.assets-cdk.com/6/9/8/14435648896.jpg|http://inventory-dmg.assets-cdk.com/2/2/9/14435648922.jpg|http://inventory-dmg.assets-cdk.com/2/4/9/14435648942.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/3077823/default/ext_GAZ_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/3077823/default/ext_GAZ_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/3077823/default/ext_GAZ_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/3077823/default/ext_GAZ_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/3077823/default/int_H0U_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/3077823/default/int_H0U_deg02.jpg|http://inventory-dmg.assets-cdk.com/chrome/381791/cc_2016CHC300001_01_640_GAZ.png,http://www.royfosswoodbridge.com/VehicleDetails/new-2016-Chevrolet-Cruze-LT-Woodbridge-ON/2771679813,0,1
2772044473,,used,2012 GMC Savana,2012,GMC,Savana,LS 1500,"$23,891",,V-8 cyl,Automatic,White,N/A,"92,500",http://inventory-cf.assets-cdk.com/2/1/6/14720708612.jpg,http://www.royfosswoodbridge.com/VehicleDetails/certified-2012-GMC-Savana-SL-Woodbridge-ON/2772044473,0,1
2774008393,,new,2016 Chevrolet Equinox,2016,Chevrolet,Equinox,LT,Contact Us,,I-4 cyl,,Black,Jet Black,,http://inventory-dmg.assets-cdk.com/4/0/7/14484521704.jpg|http://inventory-dmg.assets-cdk.com/6/3/7/14484521736.jpg|http://inventory-dmg.assets-cdk.com/4/6/7/14484521764.jpg|http://inventory-dmg.assets-cdk.com/8/9/7/14484521798.jpg|http://inventory-dmg.assets-cdk.com/4/2/8/14484521824.jpg|http://inventory-dmg.assets-cdk.com/5/5/8/14484521855.jpg|http://inventory-dmg.assets-cdk.com/0/9/8/14484521890.jpg|http://inventory-dmg.assets-cdk.com/6/2/9/14484521926.jpg|http://inventory-dmg.assets-cdk.com/3/6/9/14484521963.jpg|http://inventory-dmg.assets-cdk.com/1/9/9/14484521991.jpg|http://inventory-dmg.assets-cdk.com/3/1/0/14484522013.jpg|http://inventory-dmg.assets-cdk.com/5/3/0/14484522035.jpg|http://inventory-dmg.assets-cdk.com/4/6/0/14484522064.jpg|http://inventory-dmg.assets-cdk.com/4/9/0/14484522094.jpg|http://inventory-dmg.assets-cdk.com/5/6/1/14484522165.jpg|http://inventory-dmg.assets-cdk.com/6/2/2/14484522226.jpg|http://inventory-dmg.assets-cdk.com/9/5/2/14484522259.jpg|http://inventory-dmg.assets-cdk.com/4/8/2/14484522284.jpg|http://inventory-dmg.assets-cdk.com/0/3/3/14484522330.jpg|http://inventory-dmg.assets-cdk.com/9/5/3/14484522359.jpg|http://inventory-dmg.assets-cdk.com/5/9/3/14484522395.jpg|http://inventory-dmg.assets-cdk.com/0/3/4/14484522430.jpg|http://inventory-dmg.assets-cdk.com/6/5/4/14484522456.jpg|http://inventory-dmg.assets-cdk.com/8/7/4/14484522478.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2907723/default/ext_GBA_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2907723/default/ext_GBA_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2907723/default/ext_GBA_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2907723/default/ext_GBA_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2907723/default/int_AFJ_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2907723/default/int_AFJ_deg02.jpg|http://inventory-dmg.assets-cdk.com/chrome/377309/cc_2016CHS150010_01_640_GBA.png,http://www.royfosswoodbridge.com/VehicleDetails/new-2016-Chevrolet-Equinox-LT-Woodbridge-ON/2774008393,0,1
2775896073,,new,2016 Chevrolet Equinox,2016,Chevrolet,Equinox,LT,"$30,998",,2.4L 4 cyl,,Mosaic Black Metallic,Jet Black,,http://inventory-dmg.assets-cdk.com/1/6/3/14435644361.jpg|http://inventory-dmg.assets-cdk.com/2/8/3/14435644382.jpg|http://inventory-dmg.assets-cdk.com/2/0/4/14435644402.jpg|http://inventory-dmg.assets-cdk.com/3/2/4/14435644423.jpg|http://inventory-dmg.assets-cdk.com/6/4/4/14435644446.jpg|http://inventory-dmg.assets-cdk.com/6/6/4/14435644466.jpg|http://inventory-dmg.assets-cdk.com/1/8/4/14435644481.jpg|http://inventory-dmg.assets-cdk.com/0/8/5/14435644580.jpg|http://inventory-dmg.assets-cdk.com/1/0/6/14435644601.jpg|http://inventory-dmg.assets-cdk.com/1/2/6/14435644621.jpg|http://inventory-dmg.assets-cdk.com/4/4/6/14435644644.jpg|http://inventory-dmg.assets-cdk.com/0/7/6/14435644670.jpg|http://inventory-dmg.assets-cdk.com/2/9/6/14435644692.jpg|http://inventory-dmg.assets-cdk.com/9/0/7/14435644709.jpg|http://inventory-dmg.assets-cdk.com/9/2/7/14435644729.jpg|http://inventory-dmg.assets-cdk.com/1/5/7/14435644751.jpg|http://inventory-dmg.assets-cdk.com/6/6/7/14435644766.jpg|http://inventory-dmg.assets-cdk.com/4/9/7/14435644794.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2907723/default/ext_GB8_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2907723/default/ext_GB8_deg02.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2907723/default/ext_GB8_deg03.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2907723/default/ext_GB8_deg04.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2907723/default/int_AFJ_deg01.jpg|http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2907723/default/int_AFJ_deg02.jpg|http://inventory-dmg.assets-cdk.com/chrome/377309/cc_2016CHS150010_01_640_GB8.png,http://www.royfosswoodbridge.com/VehicleDetails/new-2016-Chevrolet-Equinox-LT-Woodbridge-ON/2775896073,0,1
2776416383,,new,2016 GMC Sierra 1500,2016,GMC,Sierra 1500,SLE,Contact Us,,V-6 cyl,,N/A,N/A,,http://inventory-dmg.assets-cdk.com/8/8/5/14462976588.jpg|http://inventory-dmg.assets-cdk.com/4/3/6/14462976634.jpg|http://inventory-dmg.assets-cdk.com/0/8/6/14462976680.jpg|http://inventory-dmg.assets-cdk.com/8/1/7/14462976718.jpg|http://inventory-dmg.assets-cdk.com/3/6/7/14462976763.jpg|http://inventory-dmg.assets-cdk.com/1/0/8/14462976801.jpg|http://inventory-dmg.assets-cdk.com/chrome_jpgs/2016/23161.jpg,http://www.royfosswoodbridge.com/VehicleDetails/new-2016-GMC-Sierra_1500-SLE-Woodbridge-ON/2776416383,0,1
